sex,age,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
T,TOTAL,PC_ACT,IT	11.2 	11.2 	11.2 	11.3 	10.9 	10.0 	9.0 	8.5 	8.4 	8.0 	7.7 	6.8 	6.1 	6.7 	7.7 	8.4 	8.4 	10.7 	12.1 	12.7 	11.9 	11.7 
T,TOTAL,PC_ACT,LT	: 	: 	: 	13.2 	14.6 	16.4 	17.4 	13.8 	12.4 	10.9 	8.3 	5.8 	4.3 	5.8 	13.8 	17.8 	15.4 	13.4 	11.8 	10.7 	9.1 	7.9 
T,TOTAL,PC_ACT,LU	2.9 	2.9 	2.7 	2.7 	2.4 	2.2 	1.9 	2.6 	3.8 	5.0 	4.6 	4.6 i	4.2 	4.9 	5.1 	4.6 	4.8 	5.1 	5.9 	6.0 	6.5 	6.3 
T,TOTAL,PC_ACT,LV	: 	: 	: 	: 	14.1 	14.3 	13.5 i	12.5 	11.6 	11.7 	10.0 	7.0 	6.1 	7.7 	17.5 	19.5 	16.2 	15.0 	11.9 	10.8 	9.9 	9.6 
T,TOTAL,PC_ACT,MT	: 	: 	: 	: 	: 	6.7 	7.6 	7.0 	7.6 	7.2 	6.9 	6.8 	6.5 	6.0 	6.9 	6.9 	6.4 	6.3 	6.4 	5.8 	5.4 	4.7 
T,TOTAL,PC_ACT,NL	8.3 	7.7 	6.5 	5.1 	4.2 	3.7 	3.1 	3.7 i	4.8 	5.7 	5.9 	5.0 	4.2 	3.7 	4.4 	5.0 	5.0 	5.8 	7.3 	7.4 	6.9 	6.0 
T,TOTAL,PC_ACT,PL	: 	: 	10.9 	10.2 	13.4 	16.1 	18.3 	20.0 	19.8 	19.1 	17.9 	13.9 	9.6 	7.1 	8.1 i	9.7 	9.7 	10.1 	10.3 	9.0 	7.5 	6.2 
T,TOTAL,PC_ACT,PT	7.9 	8.0 	7.5 i	6.1 	5.5 	5.1 	5.1 	6.2 	7.4 	7.8 	8.8 	8.9 	9.1 	8.8 	10.7 	12.0 	12.9 	15.8 	16.4 	14.1 	12.6 	11.2 
T,TOTAL,PC_ACT,RO	: 	: 	6.1 	6.3 	7.1 	7.6 	7.4 	8.3 	7.7 i	8.0 	7.1 	7.2 	6.4 	5.6 	6.5 	7.0 	7.2 	6.8 	7.1 	6.8 	6.8 	5.9 
T,TOTAL,PC_ACT,SE	8.8 	9.6 	9.9 	8.2 	6.7 	5.6 i	5.8 b	6.0 	6.6 	7.4 	7.7 	7.1 	6.1 	6.2 	8.3 	8.6 	7.8 	8.0 	8.0 	7.9 	7.4 	6.9 
T,TOTAL,PC_ACT,SI	: 	6.9 	6.9 	7.4 	7.4 	6.7 	6.2 	6.3 	6.7 	6.3 	6.5 	6.0 	4.9 	4.4 	5.9 	7.3 	8.2 	8.9 	10.1 	9.7 	9.0 	8.0 
T,TOTAL,PC_ACT,SK	: 	: 	: 	12.7 	16.5 	18.9 	19.5 	18.8 	17.7 	18.4 	16.4 	13.5 	11.2 	9.6 	12.1 	14.5 	13.7 i	14.0 	14.2 	13.2 	11.5 	9.7 
T,TOTAL,PC_ACT,UK	8.5 	7.9 	6.8 	6.1 	5.9 	5.4 	5.0 	5.1 	5.0 	4.7 	4.8 	5.4 	5.3 	5.6 	7.6 	7.8 	8.1 	7.9 	7.5 	6.1 	5.3 	4.8 
T,Y25-74,PC_ACT,AT	3.9 	4.5 	4.4 	4.5 	4.0 	3.7 	3.7 	4.1 	4.3 i	4.7 	4.7 	4.5 	4.1 	3.4 	4.4 	4.1 	3.9 	4.2 	4.7 	4.9 	5.0 	5.3 
T,Y25-74,PC_ACT,BE	8.1 	8.1 	7.8 	8.0 	7.1 	5.8 	5.4 	6.4 	6.7 	7.0 	7.1 	7.0 	6.3 	5.9 	6.6 	7.0 	6.0 	6.4 	7.1 	7.3 	7.3 	6.8 
T,Y25-74,PC_ACT,BG	: 	: 	: 	: 	: 	14.5 	17.4 	16.3 	12.4 	10.8 	9.0 	8.1 	6.2 	5.0 	6.1 	9.2 i	10.1 	11.0 	11.8 	10.7 	8.4 	7.1 
T,Y25-74,PC_ACT,CY	: 	: 	: 	: 	: 	4.2 	3.4 	3.0 	3.6 	4.0 i	4.3 	3.9 	3.3 	3.1 	4.4 	5.1 	6.4 	10.2 	13.6 	14.0 	13.2 	11.5 
T,Y25-74,PC_ACT,CZ	3.3 	3.2 	4.1 	5.3 	7.2 	7.4 	6.9 	6.2 	6.6 	7.0 	6.8 	6.2 	4.8 	3.9 	5.8 	6.4 	5.9 	6.0 	6.1 	5.4 	4.5 	3.5 
T,Y25-74,PC_ACT,DE	8.1 	8.8 	9.5 	9.3 	8.5 	7.9 	7.7 	8.5 	9.5 	10.0 	10.6 i	9.7 	8.1 	7.0 	7.2 	6.6 	5.5 	5.1 	4.9 	4.7 	4.4 	3.8 
T,Y25-74,PC_ACT,DK	6.1 	5.6 	4.7 	4.4 	4.4 	4.0 	3.9 	4.1 	4.8 	5.1 	4.2 	3.2 i	3.2 	2.6 	4.9 	6.3 	6.3 	6.3 	5.9 	5.5 	5.3 	5.1 
T,Y25-74,PC_ACT,EE	: 	: 	: 	: 	: 	13.4 	11.9 	10.5 	9.0 	8.4 	7.2 	5.2 	3.9 	4.6 i	11.9 	14.9 	11.2 	8.9 	7.6 	6.7 	5.6 	6.2 
T,Y25-74,PC_ACT,EL	: 	: 	: 	8.2 	9.1 	8.7 	8.5 	8.4 	7.9 i	8.8 	8.4 	7.5 	7.2 	6.6 	8.4 	11.2 	15.9 	22.3 	25.4 	24.8 	23.4 	22.2 
T,Y25-74,PC_ACT,ES	17.1 i	16.4 	15.3 	13.7 	11.4 	10.1 	8.9 	9.8 	9.9 	9.5 	7.7 	7.2 	7.0 	9.7 	15.7 	17.8 	19.2 	22.5 	23.8 	22.3 	20.2 	17.9 
